doc_id,gold_label,pred_label,gold_text,pred_text,context,manual_category,note
article_06,anecdote,anecdote,Gunfire erupted amid the chaos,Gunfire erupted amid the chaos,", lights went out in the cafe, Reason reported. After a tense night, police could be seen early Tuesday throwing flash-bang grenades into the cafe in video aired by Seven Network. Gunfire erupted amid the chaos. A national security source in the United States said that a team of Australian special forces troops and police had entered the Lindt Chocolate Cafe from two directions and kill",,
article_26,anecdote,anecdote,The Green Party nominated Jill Stein at its presidential candidate,The Green Party nominated Jill Stein at its presidential candidate,", Libertarians acquired 7,619 signatures calling for the name swap. The two largest third parties in the United States are the Libertarian Party and the Green Party, respectively. The Green Party nominated Jill Stein at its presidential candidate. If the election were held at the time of polling, 10 percent of American voters would vote for Johnson and only 4 percent would vote for Ms. Stein, according to a recent poll fro",,
article_22,,anecdote,,"calling him, “Robin Hood,”","ay, written by Penn, in which the Academy Award-winning actor tells of flying to Mexico with Mexican actress Kate del Castillo to meet with Guzmán. Penn lauds Guzmán in the story, calling him, “Robin Hood,” even though El Chapo’s home town of Badiraguato in the rugged Sierra Madre Occidental is among the most marginalized in Mexico, according to government statistics. The actor and",,
article_35,anecdote,assumption,Rodriguez’s comments come at the same time that a bi-partisan immigration plan is being proposed to help cope with the nation’s borders as well as the 11 million illegals who are estimated to be living within them,Rodriguez’s comments come at the same time that a bi-partisan immigration plan is being proposed to help cope with the nation’s borders as well as the 11 million illegals who are estimated to be living within them,"er and you invited me in, I needed clothes and you clothed me, I was sick and you looked after me, I was in prison and you came to visit me,” reads a portion of Matthew 25:35-36. Rodriguez’s comments come at the same time that a bi-partisan immigration plan is being proposed to help cope with the nation’s borders as well as the 11 million illegals who are estimated to be living within them. TheBlaze told you about the proposal’s contents earlier this week. What do you think? Take the poll, below:",,
article_27,anecdote,anecdote,"Tiberi resigned before finishing his term, forcing the special election to replace him",forcing the special election to replace him,"Trump won the district by 11 percentage points in the White House race in 2016 and Republican Pat Tiberi won re-election to the House by a whopping 37 percentage points. However, Tiberi resigned before finishing his term, forcing the special election to replace him. O’Connor and Balderson will face off again in November to serve a full two-year term. Under Ohio law, the remaining absentee and provisional ballots cannot be counted for 11 day",,
article_23,assumption,anecdote,"The authenticity of the video, released by SITE Monitoring Service, could not be verified","The authenticity of the video, released by SITE Monitoring Service, could not be verified","them. Last week, the group released a video purporting to show a child executing two men accused of being Russian spies who tried to infiltrate the militant organization in Syria. The authenticity of the video, released by SITE Monitoring Service, could not be verified. Contributing: The Associated Press",,
article_25,anecdote,anecdote,France's Parliament voted this week to extend airstrikes against Islamic State extremists in Iraq,France's Parliament voted this week to extend airstrikes against Islamic State extremists in Iraq,"ts, Hollande said France is ""waging war"" against terrorism and will not back down from its international military operations against Islamic extremists in Iraq and northern Africa. France's Parliament voted this week to extend airstrikes against Islamic State extremists in Iraq. The Belgian raid on a former bakery was another palpable sign that terror had seeped deep into Europe's heartland as security forces struck against militants, some of who may be",,
article_25,anecdote,anecdote,No bomb was found,No bomb was found,"structure and are increasingly sophisticated. Highlighting the fears, a bomb scare forced Paris to evacuate its busy Gare de l'Est train station during Friday morning's rush hour. No bomb was found. Visiting a scarred Paris on Friday, US Secretary of State John Kerry met French President Francois Hollande and visited the sites of the attacks last week on the newspaper Charl",,
article_09,testimony,anecdote,"The requirement that businesses provide their workers with health insurance or face fines – a key provision contained in President Barack Obama's sweeping health care law – will be delayed by one year, the Treasury Department said Tuesday",the Treasury Department said Tuesday,"Updated at 11:00 p.m. ET on Tuesday, July 2 Washington (CNN) \- The requirement that businesses provide their workers with health insurance or face fines – a key provision contained in President Barack Obama's sweeping health care law – will be delayed by one year, the Treasury Department said Tuesday. The postponement came after business owners expressed concerns about the complexity of the law’s reporting requirements, the agency said in its announcement. Under the Affordabl",,
article_23,anecdote,anecdote,"Recently, the militants released some 200 mostly elderly Yazidi hostages in Iraq, fueling speculation by Iraqi officials that the group didn't have the money to care for them","Recently, the militants released some 200 mostly elderly Yazidi hostages in Iraq","lling stolen oil likely has dropped as well in the wake of falling oil prices. The extremists have also made money from extortion, illicit businesses and other criminal activity. Recently, the militants released some 200 mostly elderly Yazidi hostages in Iraq, fueling speculation by Iraqi officials that the group didn't have the money to care for them. Last week, the group released a video purporting to show a child executing two men accused of being Russian spies who tried to infiltrate the militant organization in Syria. The",,
article_04,anecdote,assumption,A quality bonus demonstration project that effectively shielded plans from some Obamacare cuts over the past three years is being allowed to sunset as scheduled at the end of 2014 under the proposed payment policy,A quality bonus demonstration project that effectively shielded plans from some Obamacare cuts over the past three years is being allowed to sunset as scheduled at the end of 2014 under the proposed payment policy,"rent law, despite the recent claims to the contrary,” Edwin Park, of the Center on Budget and Policy Priorities, noted via email. But one important detail was immediately evident: A quality bonus demonstration project that effectively shielded plans from some Obamacare cuts over the past three years is being allowed to sunset as scheduled at the end of 2014 under the proposed payment policy. How much flexibility the administration has to revise the payment plans before they are finalized in April is not clear, van der Walde said. “Unlike last year, there’s no obviou",,
article_26,,assumption,,in Ohio,"both Stein and Johnson have also gotten their names on the ballots in states that do not recognize their respective parties through methods like the one Johnson's campaign employed in Ohio, they will likely not appear on every ballot. Johnson is currently missing from 8 state ballots, according to the Libertarian Party's official website. Stein's campaign site says",,
article_03,anecdote,assumption,"Last week, Ms. Trump heavily promoted a new White House push to get American businesses to hire American workers","Last week, Ms. Trump heavily promoted a new White House push to get American businesses to hire American workers","rotectionist trade practices. According to a report, workers at one of the Chinese factories of Ivanka Trump's clothing line were paid $62 a week. Her business employs 18 people. Last week, Ms. Trump heavily promoted a new White House push to get American businesses to hire American workers. When asked in an interview with Gray Television whether she would ask the Trump Organization to sign the same pledge, Trump said it was ""a great idea"" but wanted to ""recuse"" hers",,
article_39,assumption,assumption,The clip he's referencing made something of a splash in the Middle East,The clip he's referencing made something of a splash in the Middle East,"s not doing everything in its power to protect its people and facilities abroad. Not in Benghazi, and not elsewhere. > (b) The 9/11 attacks were not rooted in an ""internet video."" The clip he's referencing made something of a splash in the Middle East, but the State Department's second in command on the ground in Libya called it a ""non event"" vis-a-vis the Benghazi raid. The US government, including Sec. Clinton and CIA Directo",,
article_09,testimony,assumption,"opponents claim the employer mandate is a potential job killer, saying businesses near the 50-worker cutoff will be unlikely to ramp up hiring if it means they're required to provide employees health insurance",businesses near the 50-worker cutoff will be unlikely to ramp up hiring,"me workers, and downplay the effect the requirement would have on small businesses, citing figures showing the vast majority of small businesses employ fewer than 50 workers. But opponents claim the employer mandate is a potential job killer, saying businesses near the 50-worker cutoff will be unlikely to ramp up hiring if it means they're required to provide employees health insurance. READ MORE: Myths about Obamacare “The administration has finally recognized the obvious – employers need more time and clarification of the rules of the road before implementin",,
article_12,anecdote,assumption,"After years of causing angst for White House political aides by delving into issues of race, Attorney General Eric Holder is heading to Ferguson, Missouri, as President Barack Obama's top emissary","After years of causing angst for White House political aides by delving into issues of race, Attorney General Eric Holder is heading to Ferguson, Missouri, as President Barack Obama's top emissary","After years of causing angst for White House political aides by delving into issues of race, Attorney General Eric Holder is heading to Ferguson, Missouri, as President Barack Obama's top emissary. The trip on Wednesday to the St. Louis suburb now in the spotlight represents the latest effort by the Obama administration to find a way to calm racial tensions following the p",,
article_06,testimony,assumption,"According to his social media posts, the hostage-taker appears to have embraced a radical Sunni theology",embraced a radical Sunni theology,"alians are resilient and we are ready to respond."" Gunman had violent history The gunman was identified as Man Haron Monis by an official with direct knowledge of the situation. According to his social media posts, the hostage-taker appears to have embraced a radical Sunni theology. Abbott told reporters that the gunman was already well-known to authorities, and that he had a ""long history of violent crime, infatuation with extremism and mental instability.",,
article_42,assumption,assumption,"Pregnancy without sufficient support, financial or emotional, can seem impossible","Pregnancy without sufficient support, financial or emotional, can seem impossible","g their pregnancies, and for the pregnancy centers. The decision came in the case of National Institute of Family and Life Advocates (NIFLA) v. Becerra. Every pregnancy is tough. Pregnancy without sufficient support, financial or emotional, can seem impossible. Every year, pregnancy centers across the United States offer a helping hand to thousands of women so that they can confidently choose life for their babies. These centers provid",,
article_02,assumption,assumption,"which in a panic about budget deficits has been slashing government spending and jobs, contributing to the weak recovery","which in a panic about budget deficits has been slashing government spending and jobs, contributing to the weak recovery","ates near zero for more than four years and has launched a series of unprecedented bond-buying programs to further bolster the economy. The Fed is getting no help from Washington, which in a panic about budget deficits has been slashing government spending and jobs, contributing to the weak recovery. If government employment had just held steady since the end of 2008, instead of cutting more than 700,000 jobs, the unemployment rate would be 7.2 percent today, noted the Wall S",,
article_35,other,assumption,Considering the role that preachers have in American communities and the work Rodriguez has been engaged in,Considering the role that preachers have in American communities and the work Rodriguez has been engaged in,"ed — solutions to the domestic conundrum. TheBlaze recently interviewed Rodriguez, a prominent evangelical leader, to learn more about how he is tackling this controversial issue. Considering the role that preachers have in American communities and the work Rodriguez has been engaged in, his perspective on this front is important. Among other observations, Rodriguez told TheBlaze that Christians’ views on immigration have changed dramatically over the past seven",,
article_09,,statistics,,figures showing the vast majority of small businesses employ fewer than 50 workers,"s of the employer mandate note that most firms already provide health insurance to full time workers, and downplay the effect the requirement would have on small businesses, citing figures showing the vast majority of small businesses employ fewer than 50 workers. But opponents claim the employer mandate is a potential job killer, saying businesses near the 50-worker cutoff will be unlikely to ramp up hiring if it means they're required t",,
article_02,statistics,statistics,Wages have grown just 12 percent since the recession began in December 2007,Wages have grown just 12 percent since the recession began in December 2007,"0.2 percent to $23.82 from $23.78 in January. They are up just 2.1 percent in the past year, barely keeping pace with inflation -- despite record corporate profits and cash hoards. Wages have grown just 12 percent since the recession began in December 2007. Even with January's downward revision, the economy has added 191,000 jobs per month, on average, for the past three months, slightly outpacing the growth rate of the past two ye",,
article_22,statistics,statistics,"El Chapo’s home town of Badiraguato in the rugged Sierra Madre Occidental is among the most marginalized in Mexico, according to government statistics",statistics,"y Award-winning actor tells of flying to Mexico with Mexican actress Kate del Castillo to meet with Guzmán. Penn lauds Guzmán in the story, calling him, “Robin Hood,” even though El Chapo’s home town of Badiraguato in the rugged Sierra Madre Occidental is among the most marginalized in Mexico, according to government statistics. The actor and activist described Guzmán's old-school style of doing business by writing, “El Chapo is a businessman first, and only resorts to violence when he deems it advantag",,
article_02,statistics,statistics,"The motion-picture industry added 20,800 jobs","The motion-picture industry added 20,800 jobs","ealth care, which added 32,000 people; and the retail sector, which added nearly 24,000. Temporary services payrolls grew by 16,000, possibly a leading indicator for future hiring. The motion-picture industry added 20,800 jobs. This post has been updated with details throughout.",,
article_44,anecdote,statistics,a surprising percentage voted for him,percentage voted for him,"few days we’ve seen what happens when you assign someone a single identity. Pollsters assumed that most Latinos would vote only as Latinos, and therefore against Donald Trump. But a surprising percentage voted for him. Pollsters assumed women would vote primarily as women, and go for Hillary Clinton. But a surprising number voted against her. They assumed African-Americans would vote along str",,
article_12,anecdote,statistics,That's more than twice the number of such probes in the previous five years,That's more than twice the number of such probes in the previous five years,"rtment has intensified its scrutiny of police departments, launching 20 investigations of police practices and alleged discriminatory enforcement patterns in the past five years. That's more than twice the number of such probes in the previous five years. That record is part of Holder's pitch to reassure the local community in Ferguson that the Justice Department will properly investigate the shooting of Brown, who was unarmed, b",,
article_04,statistics,statistics,Avalere Health reported Friday that Medicare Advantage enrollment grew nearly 9 percent from 2013 to 2014,"Indeed, Avalere Health reported Friday that Medicare Advantage enrollment grew nearly 9 percent from 2013 to 2014","t drop in payments. That drew warnings of substantial benefit reductions for seniors. For the most part, those did not materialize. ( Also on POLITICO: Obama pushes ACA sign-up) Indeed, Avalere Health reported Friday that Medicare Advantage enrollment grew nearly 9 percent from 2013 to 2014. The program now covers almost 16 million people. Friday’s announcement contains several other payment policies in addition to the growth rate that would also affect the total pa",,
article_02,statistics,statistics,"January job growth was revised down sharply, from 157,000 to 119,000 jobs","January job growth was revised down sharply, from 157,000 to 119,000 jobs","riving 10-year Treasury note yields to 2.08 percent, their highest since April 2012. Bond prices and yields move in the opposite direction. The report came with plenty of caveats. January job growth was revised down sharply, from 157,000 to 119,000 jobs. And the unemployment rate fell in large part because the labor force shrank by 130,000 workers. Labor-force participation has never recovered from the recession, suggesting eithe",,
article_02,statistics,testimony,"a higher payroll tax rate, the harsh budget cuts of the ""sequester"" and other effects of Washington's endless budget wars could carve 1.5 percent from economic growth this year and cut at least 700,000 jobs in the next two years, according to recent studies by the private forecasting firm Macroeconomic Advisers",", according to recent studies by the private forecasting firm Macroeconomic Advisers","hs, and the jobless rate is still too high to convince the Federal Reserve to stop pumping cash into the economy. (SCROLL DOWN FOR UPDATES AND ANALYSIS ON THE REPORT) Meanwhile, a higher payroll tax rate, the harsh budget cuts of the ""sequester"" and other effects of Washington's endless budget wars could carve 1.5 percent from economic growth this year and cut at least 700,000 jobs in the next two years, according to recent studies by the private forecasting firm Macroeconomic Advisers. ""There really is the potential for trouble ahead,"" Ian Shepherdson, chief economist at Pantheon Macroeconomic Advisors, wrote in a note. ""You can't take 1.5% of GDP out of the e",,
article_02,statistics,anecdote,"the unemployment rate fell in large part because the labor force shrank by 130,000 workers",workers,"012. Bond prices and yields move in the opposite direction. The report came with plenty of caveats. January job growth was revised down sharply, from 157,000 to 119,000 jobs. And the unemployment rate fell in large part because the labor force shrank by 130,000 workers. Labor-force participation has never recovered from the recession, suggesting either that large numbers of workers have retired early -- or have simply given up trying to find job",,
article_25,,other,,to your,"seeped deep into Europe's heartland as security forces struck against militants, some of who may be returnees from jihad in Syria. Get the Monitor Stories you care about delivered to your inbox. That investigation had started well before last week's rampage in Paris, but Belgian authorities are separately looking for possible links between a man they arrested in t",,
article_27,,other,,ites,"that sparked the “Black Lives Matter” movement, also lost a primary race to Wesley Bell, a Ferguson city council member who has vowed criminal justice reform. Reporting by John Whitesides; Editing by Colleen Jenkins, Michael Perry and Paul Tait",,
article_37,,other,,Press,"alks to renegotiate NAFTA, suggesting Canada and Mexico might be exempted from tariffs if they offer more favorable terms under the trade agreement. (Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.) Stay informed with the latest from CBN News delivered to your inbox.",,
article_11,other,anecdote,"To be honest, I find the actual name of cyber-attack commander Nikolay Yuryevich Kozachek and his online nom de guerre, blablabla1234565, equally hard to remember",to remember,"fidy through the indictments of Russian military intelligence commanders for undermining American democracy. But then you have to wade through a lot of Russian and hacker names. (To be honest, I find the actual name of cyber-attack commander Nikolay Yuryevich Kozachek and his online nom de guerre, blablabla1234565, equally hard to remember.) It’s more summery to go the farce route and focus on McDougal, Daniels, Bechard and the Republican bribers who loved them. Plus, Cohen forms a bridge between from Russia and wi",,
article_17,,other,,each weekday morning,"ity update in March to tackle the problem involved in the latest attack, but many users were yet to run it. How roots can be traced to the US Get news from the BBC in your inbox, each weekday morning",,
article_11,other,other,"Karen, I’m here for you",", I’m here for you","Enquirer, killed her story. He wouldn’t let her take it elsewhere, she maintains, but he did promise her a bogus fitness-writing deal that never came to pass. The writer’s life! Karen, I’m here for you. Don’t confuse McDougal with Stormy Daniels, the porn actress who accepted money through Cohen’s office to put the lid on her alleged affair with Trump in 2006, around the time t",,
article_39,other,assumption,renewing a lease on our compound with a waiver for substandard security after it had faced several attempted attacks?,Or renewing a lease on our compound with a waiver for substandard security after it had faced several attempted attacks?,"e the resulting power vacuum? Or rejecting repeated requests for an enhanced security presence in a city from which much of the West had withdrawn, due to growing jihadi dominance? Or renewing a lease on our compound with a waiver for substandard security after it had faced several attempted attacks? Perhaps it was the lack of preparation for the contingency of a terrorist attack on the anniversary of 9/11, which resulted in hours of paralysis while American lives hung in the",,
article_28,,other,,/,"Wasserman Schultz to resign. Donna Brazile was promoted from vice chair to interim chair of the party, temporarily pacifying progressive concerns. Debbie Wasserman Schultz.REUTERS/Scott Audette But, following a stunning defeat Tuesday night, progressives are once again up in arms. They contend that the Democratic Party has allowed corporate interests to dic",,
article_33,other,assumption,"When it comes to more gun control, I'm not exactly sure what Obama is trying to get out here","When it comes to more gun control, I'm not exactly sure what Obama is trying to get out here","o the shotgun like ""better off this way,"" and ""my elf gun."" He then illegally took that gun into Washington D.C., illegally brought it into the Navy Yard and committed mass murder. When it comes to more gun control, I'm not exactly sure what Obama is trying to get out here. Is he implying we should institute more restrictions on basic shotguns? So what's next? Although Obama said in his remarks Sunday that changes in gun control will come from Amer",,
article_07,,other,,.,"n be trusted. We're just another player in the tribal battle."" James Comey joins Rachel Maddow live in-studio Thursday at 9 p.m., ET, on MSNBC. CORRECTION (April 16, 2018, 6:10 a.m.): An earlier version of this article misstated James Comey’s title. He is a former director of the FBI, not the current director.",,
article_04,testimony,,"Chuck Schumer (D-N.Y.) and a host of Republicans, sent a letter Tuesday asking the administration to “prioritize beneficiaries’ experience and minimize disruption to payment levels for 2015.”",,"alone. Forty senators, including vulnerable Democrats Kay Hagan of North Carolina, Mary Landrieu of Louisiana, Mark Pryor of Arkansas and Mark Udall of Colorado, as well as Sen. Chuck Schumer (D-N.Y.) and a host of Republicans, sent a letter Tuesday asking the administration to “prioritize beneficiaries’ experience and minimize disruption to payment levels for 2015.” Friday afternoon, a memo from House Majority Leader Eric Cantor highlighted plans for Republicans to focus on “the negative impact on seniors from the Medicare Advantage cuts.”",,
article_02,assumption,assumption,the jobless rate is still too high to convince the Federal Reserve to stop pumping cash into the economy,the jobless rate is still too high to convince the Federal Reserve to stop pumping cash into the economy,"ing momentum,"" Paul Ashworth, chief U.S. economist at Capital Economics, wrote in a note. But U.S. non-farm payrolls are still 3 million jobs shy of their pre-recession highs, and the jobless rate is still too high to convince the Federal Reserve to stop pumping cash into the economy. (SCROLL DOWN FOR UPDATES AND ANALYSIS ON THE REPORT) Meanwhile, a higher payroll tax rate, the harsh budget cuts of the ""sequester"" and other effects of Washington's endless bu",,
article_18,testimony,testimony,"He spoke of ""intimidation by the mob"" and said the Senate vote should be one ""to turn away from darkness""","He spoke of ""intimidation by the mob"" and said the Senate vote should be one ""to turn away from darkness","ic servant"". He said events had ""strained our basic principles of fairness and justice"" and that the vote showed the Senate was ""an institution where evidence and facts matter"". He spoke of ""intimidation by the mob"" and said the Senate vote should be one ""to turn away from darkness"". Ms Murkowski had earlier said that although Mr Kavanaugh was a ""good man"", he was ""not the right person for the court at this time"" and his ""appearance of impropriety has become",,
article_14,assumption,assumption,"the United States’ recognition of Jerusalem as part of Israel could embolden messianic Jewish extremists — some of whom are supported by Israeli government officials — who want to build a Jewish temple in the Noble Sanctuary mosque complex in the Old City of East Jerusalem, one of the most sensitive religious sites in the world",the United States’ recognition of Jerusalem as part of Israel could embolden messianic Jewish extremists — some of whom are supported by Israeli government officials,"United States has given its stamp of approval to the annexation of Jerusalem, why shouldn’t right-wing Israelis believe it will one day do the same with more territory? Moreover, the United States’ recognition of Jerusalem as part of Israel could embolden messianic Jewish extremists — some of whom are supported by Israeli government officials — who want to build a Jewish temple in the Noble Sanctuary mosque complex in the Old City of East Jerusalem, one of the most sensitive religious sites in the world. This could easily ignite a major religious conflagration in the Middle East and beyond with an outcome that cannot be predicted. Wednesday’s announcement may finally put to rest",,
article_33,assumption,assumption,"Mass shootings, are not","Mass shootings, are not","ass shootings are not the new normal and are not on the rise as President Obama would like the country to believe. Violence in the streets of Chicago between rival gangs is normal. Mass shootings, are not. Recommended Why I Reported the Case of an 11-Year-Old Drag Queen to Child Protective Services Karen Kataline Let's refresh what happened last week: Mad man Aaron Alexis, who",,
article_17,testimony,assumption,"The message from the UK's National Crime Agency was ""do not pay!""","The message from the UK's National Crime Agency was ""do not pay!""","Corera, the BBC's security correspondent, reports. Companies in Asia and Europe have been warning employees to be careful when clicking on attachments and links in their emails. The message from the UK's National Crime Agency was ""do not pay!"" - there is no guarantee that systems will be restored. Michael Gazeley, of Network Box, a Hong Kong-based cyber-security firm, told Reuters there were still ""many 'landmines' wai",,
article_02,,anecdote,,U.S. stock prices rose,"antheon Macroeconomic Advisors, wrote in a note. ""You can't take 1.5% of GDP out of the economy and see no hit."" The report was significantly better than Wall Street expected, and U.S. stock prices rose, pushing the Dow Jones Industrial Average to a new record high of about 14,400. The broader Standard & Poor's 500-stock index also rose, coming within points of its record. Econom",,
article_37,assumption,assumption,"He has tried to use the tariffs as leverage in ongoing talks to renegotiate NAFTA, suggesting Canada and Mexico might be exempted from tariffs if they offer more favorable terms under the trade agreement",suggesting Canada and Mexico might be exempted from tariffs if they offer more favorable terms under the trade agreement,"take this risk seriously,"" Donohue said. The president has said the tariffs are needed to reinforce lagging American steel and aluminum industries and protect national security. He has tried to use the tariffs as leverage in ongoing talks to renegotiate NAFTA, suggesting Canada and Mexico might be exempted from tariffs if they offer more favorable terms under the trade agreement. (Copyright 2018 The Associated Press. All rights reserved. This material may not be published, broadcast, rewritten or redistributed.) Stay informed with the latest from CBN Ne",,
article_35,testimony,testimony,"“Ronald Reagan would agree with me on this. He was the one who said that these immigrants really embody the future of America,” he added","He was the one who said that these immigrants really embody the future of America,” he added","s have actually contributed to their communities. Rodriguez also highlighted his belief that it’s unfair to throw these individuals out when they have been living here for years. “Ronald Reagan would agree with me on this. He was the one who said that these immigrants really embody the future of America,” he added. “True conservatism [means that] if we are to conserve the spirit of entrepreneurship, we want to welcome these immigrants.” It’s not as though the faith leader wants to open the",,
article_02,statistics,statistics,"Prices of safe-haven Treasury bonds slumped, on the other hand, driving 10-year Treasury note yields to 2.08 percent, their highest since April 2012",highest since April 2012,"lso rose, coming within points of its record. Economists, on average, expected 160,000 payroll jobs and a 7.9 percent unemployment rate in February, according to a Reuters survey. Prices of safe-haven Treasury bonds slumped, on the other hand, driving 10-year Treasury note yields to 2.08 percent, their highest since April 2012. Bond prices and yields move in the opposite direction. The report came with plenty of caveats. January job growth was revised down sharply, from 157,000 to 119,000 jobs. And the",,
