doc_id,prediction_index,pred_label,pred_start,pred_end,pred_text
article_02,30,statistics,3058,3192,"They are up just 2.1 percent in the past year, barely keeping pace with inflation -- despite record corporate profits and cash hoards"
article_02,31,statistics,3193,3269,Wages have grown just 12 percent since the recession began in December 2007
article_02,32,statistics,3272,3452,"Even with January's downward revision, the economy has added 191,000 jobs per month, on average, for the past three months, slightly outpacing the growth rate of the past two years"
article_02,33,assumption,3453,3519,That should be enough to drive the unemployment rate slowly lower
article_02,34,statistics,3522,3641,"Including February's jobs, the U.S. economy has added 5.7 million jobs since the labor market bottomed in February 2010"
article_02,35,statistics,3646,3752,non-farm employment is still 3 million jobs lower than before the start of the recession in December 2007
article_02,36,assumption,3753,3818,making this the slowest labor-market recovery since World War II
article_02,37,assumption,3821,3931,"After peaking at 10 percent in October 2009, the unemployment rate has been grinding lower, but far too slowly"
article_02,38,assumption,3932,4130,"As a result, the Federal Reserve has kept short-term interest rates near zero for more than four years and has launched a series of unprecedented bond-buying programs to further bolster the economy"
article_02,39,assumption,4133,4175,The Fed is getting no help from Washington
article_02,40,assumption,4176,4297,"which in a panic about budget deficits has been slashing government spending and jobs, contributing to the weak recovery"
article_02,41,testimony,4301,4506,"government employment had just held steady since the end of 2008, instead of cutting more than 700,000 jobs, the unemployment rate would be 7.2 percent today, noted the Wall Street Journal's Justin Lahart"
article_02,42,anecdote,4554,4563,February
article_02,43,assumption,4568,4683,those numbers could get worse later this year as the effects of the harsh budget cuts of the sequester take effect
article_02,44,statistics,4686,4871,"Among the sectors adding the most jobs in February were construction, which hired 48,000 people; health care, which added 32,000 people; and the retail sector, which added nearly 24,000"
article_02,45,assumption,4872,4963,"Temporary services payrolls grew by 16,000, possibly a leading indicator for future hiring"
article_02,46,statistics,4964,5010,"The motion-picture industry added 20,800 jobs"
article_02,47,other,5039,5044,with
article_03,0,anecdote,47,151,"order to focus on her role as senior adviser in her father's White House, the company announced Tuesday"
article_03,1,testimony,154,294,"""When we first started this brand, no one could have predicted the success that we would achieve,"" said Ms. Trump in a statement to NBC News"
article_03,2,testimony,295,571,"""After 17 months in Washington, I do not know when or if I will ever return to the business, but I do know that my focus for the foreseeable future will be the work I am doing here in Washington, so making this decision now is the only fair outcome for my team and partners."""
article_03,3,assumption,573,781,"The closure of Ms. Trump's business, which was first reported by the The Wall Street Journal, will reduce its entanglements in President Donald Trump's ""America First"" agenda and protectionist trade practices"
article_03,4,testimony,782,898,"According to a report, workers at one of the Chinese factories of Ivanka Trump's clothing line were paid $62 a week"
article_03,5,anecdote,923,930,people
article_03,6,assumption,933,1045,"Last week, Ms. Trump heavily promoted a new White House push to get American businesses to hire American workers"
article_03,7,testimony,1046,1249,"When asked in an interview with Gray Television whether she would ask the Trump Organization to sign the same pledge, Trump said it was ""a great idea"" but wanted to ""recuse"" herself from ""calling them."""
article_03,8,anecdote,1251,1431,"Earlier this month, Canadian retail giant Hudson's Bay, which also owns Saks Fifth Avenue and Lord & Taylor, said it would begin phasing out Ivanka Trump's goods, citing weak sales"
article_03,9,assumption,1432,1514,That move comes amid a growing trade war between America and its trading partners
article_03,10,anecdote,1527,1639,"from Trump's decision to impose punitive tariffs on all imported aluminum and steel, including Canadian imports"
article_03,11,testimony,1714,1727,fall of 2017
article_03,12,anecdote,1730,1765,Ms. Trump started the brand in 2014
article_03,13,assumption,1769,1901,"sales soared during the 2016 presidential campaign, in part thanks to her glamorous, high-profile appearances on the campaign trail"
article_03,14,anecdote,1904,2119,"But in 2016 a grassroots anti-Trump social media campaign named #GrabYourWallet hit the Ivanka brands with calls for boycotts, crowdsourcing a database of businesses for activists to contact and demand they end ties"
article_03,15,testimony,2122,2229,"""This is a resounding success,"" Shannon Coulter, the campaign's founder, told NBC News in an online message"
article_03,16,testimony,2232,2467,"""We've seen increased momentum in the wake of the immigration crisis caused by the Trump administration and Hudson's Bay subsequent dropping of the Trump brand,"" said Coulter, a digital marketing strategist in San Francisco, California"
article_03,17,testimony,2468,2592,"""I believe Ivanka is closing her company in order to avoid the further embarrassment of major retailers dropping her line."""
article_03,18,assumption,2594,2769,"But in 2017 as anti-Trump backlash began to grow over connection to her father's divisive and controversial policies, retailers began distancing themselves from the Trump line"
article_03,19,anecdote,2772,2942,"They took down in-store promotional signage and relegated Ivanka's lines to their back racks, or continued to sell in store while removing the products from their website"
article_03,20,anecdote,2945,3056,"Citing poor sales, upscale retailer Nordstom declined to fully renew its spring order for the Ivanka Trump line"
article_03,21,assumption,3057,3120,That prompted her father to lash out at the company on Twitter
article_03,22,assumption,3179,3184,strom
article_03,23,assumption,3185,3251,She is a great person -- always pushing me to do the right thing!
article_03,24,assumption,3260,3261,!
article_03,25,anecdote,3332,3365,would bypass reluctant retailers
article_03,26,anecdote,3368,3484,"Though Ms. Trump made note of ""strong sales"" and a ""rapidly growing"" e-commerce business in her statement on Tuesday"
article_03,27,assumption,3485,3531,the challenging optics had continued to mount
article_03,28,anecdote,3628,3868,the applications were approved after President Trump conceded to Chinese demands to lift a ban on the ZTE electronics manufacturing company that had been put in place following allegations it was involved in stealing American trade secrets
article_03,29,assumption,3871,3979,"Ms. Trump had put her company, IT Collection LLC, in a trust to help alleviate conflict-of-interest concerns"
article_03,30,assumption,3980,3984,But
article_03,31,assumption,3984,4048,"because she is a public figure, those concerns were unavoidable"
article_03,32,assumption,4188,4339,"from her public role, potentially running afoul of rules that bar government employees from using their public office for private gain or endorsements"
article_03,33,assumption,4342,4382,The challenges started almost right away
article_03,34,anecdote,4383,4484,"Ivanka Trump wore a $10,000 bracelet from her collection during an interview with CBS's ""60 Minutes"""
article_03,35,anecdote,4488,4589,"one of her vice presidents of sales sent a ""style alert"" to journalists encouraging them to share it"
article_03,36,anecdote,4592,4727,"Ivanka Trump's jewelry company sent a 'style alert' to journalists, promoting the bracelet she wore alongside her dad on @60Minutes pic"
article_03,37,anecdote,4752,4844,Ms. Trump shared the news with her staff at Trump Tower and visited with members of her team
article_03,38,testimony,4845,4879,"who were ""most likely surprised,"""
article_03,39,testimony,4882,5011,"the company had previously committed to staying in business for the foreseeable future, according to a source close to Ms. Trump"
article_03,40,testimony,5012,5103,"The staff would be receiving settlements in line with industry standards, the source said."
article_04,0,assumption,0,279,"The Obama administration is proposing a major cut in 2015 payments to Medicare Advantage, in a move that is sure to set off a ferocious campaign by the insurance industry to reverse the decision and likely will further complicate the health care politics of the midterm elections"
article_04,1,statistics,282,396,An annual notice released Friday after the markets closed would reduce Medicare Advantage spending by 3.55 percent
article_04,2,assumption,442,451,spending
article_04,3,assumption,452,511,which has grown at a historically low pace in recent years
article_04,4,assumption,584,636,is calculated through a complicated set of formulas
article_04,5,anecdote,641,810,analysts were still sorting out the 148-page proposal that CMS released late in the afternoon to assess the total impact on the increasingly popular program for seniors
article_04,6,testimony,836,1048,"Lambert van der Walde, a former CMS official under President George W. Bush who now advises investment firms, said the cut is bigger than the industry expected, given estimates the government provided in December"
article_04,7,testimony,1106,1143,"“It looks worse,” van der Walde said,"
article_04,8,testimony,1143,1217,while adding that it’s too soon to determine what the final level will be
article_04,9,assumption,1220,1398,"Republican and Democratic strategists say any cuts to Medicare Advantage, which now covers a third of all Medicare beneficiaries, will give the GOP ammunition to attack Democrats"
article_04,10,assumption,1399,1479,Some Democrats have already asked the administration to leave the program alone
article_04,11,anecdote,1482,1844,"Forty senators, including vulnerable Democrats Kay Hagan of North Carolina, Mary Landrieu of Louisiana, Mark Pryor of Arkansas and Mark Udall of Colorado, as well as Sen. Chuck Schumer (D-N.Y.) and a host of Republicans, sent a letter Tuesday asking the administration to “prioritize beneficiaries’ experience and minimize disruption to payment levels for 2015.”"
article_04,12,testimony,1846,2022,"Friday afternoon, a memo from House Majority Leader Eric Cantor highlighted plans for Republicans to focus on “the negative impact on seniors from the Medicare Advantage cuts.”"
article_04,13,assumption,2339,2347,program
article_04,14,anecdote,2570,2620,choices and urged that payment rates be kept flat
article_04,15,testimony,2621,2717,"“Another round of payment cuts would be devastating,” said AHIP President and CEO Karen Ignagni"
article_04,16,assumption,2720,2916,AHIP has pledged to continue that campaign of advertising and aggressive lobbying on Capitol Hill while leveraging a coalition of 1.5 million seniors to hammer Congress with constituent complaints
article_04,17,assumption,2919,2963,It’s an approach that has worked in the past
article_04,18,anecdote,3016,3053,in cuts for Medicare Advantage plans
article_04,19,anecdote,3054,3336,"After a six-week campaign that included paid advertising inside the Beltway and beyond, and letters from at least 160 supportive lawmakers from both parties, CMS reversed a key assumption that had long been built into its estimates and instead put forward a 3.3 percent growth rate"
article_04,20,statistics,3339,3343,Even
article_04,21,statistics,3347,3497,"because of a variety of other moves and cuts, the industry estimated that Medicare Advantage plans suffered a cumulative 6.5 percent drop in payments"
article_04,22,assumption,3498,3563,That drew warnings of substantial benefit reductions for seniors
article_04,23,assumption,3564,3609,"For the most part, those did not materialize"
article_04,24,assumption,3646,3648,CA
article_04,25,statistics,3659,3772,"Indeed, Avalere Health reported Friday that Medicare Advantage enrollment grew nearly 9 percent from 2013 to 2014"
article_04,26,statistics,3773,3821,The program now covers almost 16 million people
article_04,27,assumption,3824,3958,Friday’s announcement contains several other payment policies in addition to the growth rate that would also affect the total payments
article_04,28,assumption,3959,4105,"Those policies, including for risk adjustment, “coding intensity” and a quality bonus program, were still being reviewed by industry stakeholders"
article_04,29,anecdote,4210,4227,not a new policy
article_04,30,assumption,4282,4287,said
article_04,31,assumption,4288,4361,most were already included in the ACA and other steps Congress has taken
article_04,32,testimony,4364,4602,"“There don’t appear to be any new cuts that weren’t payment changes and adjustments already required under current law, despite the recent claims to the contrary,” Edwin Park, of the Center on Budget and Policy Priorities, noted via email"
article_04,33,assumption,4605,4653,But one important detail was immediately evident
article_04,34,assumption,4654,4868,A quality bonus demonstration project that effectively shielded plans from some Obamacare cuts over the past three years is being allowed to sunset as scheduled at the end of 2014 under the proposed payment policy
article_04,35,testimony,4990,5010,", van der Walde said"
article_04,36,testimony,5011,5195,"“Unlike last year, there’s no obvious assumption change that can easily be made and we have the additional backdrop of a challenging ACA implementation and midterm elections,” he said"
article_05,0,assumption,0,175,Melania Trump appears to have plagiarized her speech at the opening night of the Republican National Convention from Michelle Obama’s address to the 2008 Democratic convention
article_05,1,assumption,178,349,An entire section of Trump’s speech—focused on the values she and her husband share—appears to be lifted directly from Obama’s comments on the same subject eight years ago
article_05,2,assumption,410,426,” of her country
article_05,3,assumption,427,503,now Republicans defend her words when they’re coming out of Melania’s mouth
article_05,4,assumption,506,586,The controversy capped a chaotic first day of the Republican National Convention
article_05,5,anecdote,587,771,Monday started with Trump’s campaign attacking popular Ohio governor and former presidential challenger John Kasich as an “embarrassment” for not attending the convention in Cleveland
article_05,6,anecdote,772,846,"By afternoon, conspiracy theorist Alex Jones was rallying people outside—"
article_05,7,anecdote,846,949,until he was interrupted by a popular comedian asking the fringe radio host to “have sex with my wife.”
article_05,8,anecdote,951,1088,"Not long after, a fight erupted on the convention floor, with anti-Trump delegates demanding a roll call vote before the RNC got underway"
article_05,9,anecdote,1089,1194,"At another point, Rep. Steve King was on MSNBC suggesting white people are better than any “sub-groups.”"
article_05,10,anecdote,1194,1312,"By the evening, speaker after speaker recalled in the most minute detail the attacks on the U.S. compound in Benghazi"
article_05,11,anecdote,1342,1403,and repeated almost line-for-line what Michelle said in 2008
article_05,12,testimony,1406,1649,"“From a young age, my parents impressed on me the values that you work hard for what you want in life, that your word is your bond and you do what you say and keep your promise; that you treat people with respect,” Melania said [emphasis added"
article_05,13,testimony,1651,1716,“They taught and showed me values and morals in their daily life
article_05,14,testimony,1717,2011,"That is a lesson that I continue to pass along to our son, and we need to pass those lessons on to the many generations to follow because we want our children in this nation to know that the only limit to your achievements is the strength of your dreams and your willingness to work for them.”"
article_05,15,assumption,2017,2044,’s Michelle eight years ago
article_05,16,testimony,2048,2338,"Barack and I were raised with so many of the same values: that you work hard for what you want in life; that your word is your bond and you do what you say you’re going to do; that you treat people with dignity and respect, even if you don't know them, and even if you don’t agree with them"
article_05,17,testimony,2339,2443,"And Barack and I set out to build lives guided by these values, and pass them on to the next generation"
article_05,18,testimony,2444,2636,Because we want our children—and all children in this nation—to know that the only limit to the height of your achievements is the reach of your dreams and your willingness to work for them.”
article_05,19,testimony,2638,2739,"Before the convention, Team Trump told CNN that Melania spent five to six weeks working on the speech"
article_05,20,testimony,2740,2833,She told Matt Lauer on Monday afternoon that she had “as little help as possible” writing it
article_05,21,assumption,2836,2922,The Trump campaign didn’t acknowledge the plagiarism allegation when it first surfaced
article_05,22,testimony,2925,3153,"“In writing her beautiful speech, Melania’s team of writers took notes on her life’s inspirations, and in some instances included fragments that reflected her own thinking,” spokesman Jason Miller said in a statement late Monday"
article_05,23,testimony,3154,3267,"“Melania’s immigrant experience and love for America shone through in her speech, which made it such a success.”"
article_05,24,assumption,3269,3361,"But by 1:30 a.m., the campaign finally addressed the plagiarism—and attacked Hillary Clinton"
article_05,25,testimony,3364,3502,"“This is once again an example of when a woman threatens Hillary Clinton she’ll... take her down,” campaign manager Paul Manafort told CNN"
article_05,26,testimony,3503,3529,“It’s not going to work.”
article_05,27,anecdote,3605,3663,speech when the Today show asked him if it was plagiarism
article_05,28,testimony,3666,3763,"“Not when 93 percent of the speech is completely different than Michelle Obama’s speech,” he said"
article_05,29,testimony,3764,3803,“They expressed some common thoughts.”
article_05,30,assumption,3805,3929,The idea that any Republican would share “common thoughts” with Michelle Obama would’ve shocking to the GOP until last night
article_05,31,anecdote,3942,4020,went ballistic when the future First Lady told a crowd of voters in Feb. 2008
article_05,32,testimony,4023,4159,"“For the first time in my adult life, I am really proud of my country because it feels like hope is finally making a comeback,” she said"
article_05,33,testimony,4162,4278,The Obamas subsequently explained that what she meant was that she was thrilled to see Americans turning out to vote
article_05,34,assumption,4283,4370,the meme that the Princeton and Harvard Law grad was a crypto-black militant had stuck
article_05,35,testimony,4407,4412,Beck
article_05,36,testimony,4421,4443,“This is who they are
article_05,37,testimony,4444,4470,They’re anti-colonialists
article_05,38,testimony,4471,4530,They believe America has oppressed the rest of the world.”
article_05,39,testimony,4614,4622,in 2008
article_05,40,testimony,4623,4758,"telling Wolf Blitzer, “You know, he's also been involved in pretty big controversy like plagiarism in college and various other things"
article_05,41,testimony,4759,4789,That's a pretty big statement
article_05,42,testimony,4790,4834,So perhaps you change over a period of time
article_05,43,testimony,4835,4890,"But when you plagiarize, that's a very bad statement.”"
article_06,0,assumption,0,51,The deadly siege of a central Sydney cafe has ended
article_06,1,assumption,55,91,the investigation is just beginning
article_06,2,anecdote,94,227,"Australian authorities stormed the cafe where a self-styled Muslim cleric had been holding hostages early Tuesday, killing the gunman"
article_06,3,testimony,333,404,", New South Wales police Commissioner Andrew P. Scipione told reporters"
article_06,4,testimony,463,486,", according to Scipione"
article_06,5,anecdote,487,558,"They were later identified as Katrina Dawson, 38, and Tori Johnson, 34"
article_06,6,anecdote,559,667,"Other people were injured, including a police officer who suffered a wound to the face from gunshot pellets"
article_06,7,anecdote,668,723,All were described by police to be in stable condition
article_06,8,testimony,726,772,"""Understandably, there is a lot of speculation"
article_06,9,testimony,773,903,"but it will take time to clarify exactly what happened ... and why,"" Australian Prime Minister Tony Abbott told reporters Tuesday"
article_06,10,assumption,906,931,What did the gunman want?
article_06,11,assumption,931,973,Why did he choose the cafe as his target?
article_06,12,testimony,975,1211,"""There is nothing more Australian than dropping in at the local cafe for a morning coffee, and it's tragic beyond words that people going about their everyday business should have been caught up in such a horrific incident,"" Abbott said"
article_06,13,anecdote,1214,1295,He offered his condolences to people caught in the attack and to their loved ones
article_06,14,testimony,1298,1476,"""These events do demonstrate that even a country as free as open as generous and as safe as ours is vulnerable to acts of politically motivated violence,"" the Prime Minister said"
article_06,15,testimony,1477,1578,"""But they also remind us that Australia, and Australians are resilient and we are ready to respond."""
article_06,16,assumption,1580,1606,Gunman had violent history
article_06,17,anecdote,1608,1706,The gunman was identified as Man Haron Monis by an official with direct knowledge of the situation
article_06,18,assumption,1778,1812,embraced a radical Sunni theology
article_06,19,testimony,1815,1993,"Abbott told reporters that the gunman was already well-known to authorities, and that he had a ""long history of violent crime, infatuation with extremism and mental instability."""
article_06,20,anecdote,1995,2064,"Before the raid, Monis had demanded a flag and phone call with Abbott"
article_06,21,testimony,2065,2107,CNN affiliate Sky News Australia reported
article_06,22,anecdote,2184,2198,News reported
article_06,23,anecdote,2201,2314,Some hostages had also reportedly posted messages to social networking sites and the YouTube online video service
article_06,24,anecdote,2315,2371,Police urged media early Tuesday not to show the videos
article_06,25,testimony,2531,2569,according to Australian media reports
article_06,26,assumption,2572,2606,He was believed to be acting alone
article_06,27,testimony,2644,2720,"broader plot, additional U.S. law enforcement and intelligence sources said"
article_06,28,anecdote,2790,2979,"Hundreds of police officers, including snipers, surrounded the cafe in Sydney's central business district shortly after the gunman took over the building at 10 a.m. Monday (6 p.m. ET Sunday"
article_06,29,anecdote,2983,3112,"Chilling images from Australian media showed people, believed to be hostages, with their hands pressed against the cafe's windows"
article_06,30,anecdote,3113,3244,"They were holding up a black flag with Arabic writing on it reading, ""There is no God but God and Mohammed is the prophet of God."""
article_06,31,anecdote,3246,3353,Five hostages sprinted out of the cafe toward heavily armed police officers several hours into the standoff
article_06,32,testimony,3387,3424,", according to an Australian reporter"
article_06,33,testimony,3427,3625,"Chris Reason, a correspondent for CNN affiliate Seven Network, said the gunman became ""extremely agitated"" when he realized what had happened and ""started screaming orders"" at the remaining hostages"
article_06,34,testimony,3628,3749,Reason said he could see the gunman pacing past the cafe's windows from his vantage point at the network's nearby offices
article_06,35,anecdote,3750,3843,"He described the man as unshaven, wearing a white shirt and black cap and carrying a shotgun"
article_06,36,anecdote,3896,3905,reported
article_06,37,anecdote,3908,4038,"After a tense night, police could be seen early Tuesday throwing flash-bang grenades into the cafe in video aired by Seven Network"
article_06,38,anecdote,4039,4070,Gunfire erupted amid the chaos
article_06,39,testimony,4073,4263,A national security source in the United States said that a team of Australian special forces troops and police had entered the Lindt Chocolate Cafe from two directions and killed the gunman
article_06,40,anecdote,4266,4354,Video captured medics working on some people and others being carried away on stretchers
article_06,41,anecdote,4357,4428,"On Tuesday, the hostages who died were identified as Dawson and Johnson"
article_06,42,testimony,4431,4614,"""Katrina was one of our best and brightest barristers who will be greatly missed by her colleagues and friends at the NSW Bar,"" the New South Wales Bar Association said in a statement"
article_06,43,testimony,4615,4717,"""She was a devoted mother of three children and a valued member of her floor and of our bar community"
article_06,44,testimony,4718,4766,"Our thoughts are with her family at this time."""
article_06,45,anecdote,4768,4810,Johnson's family also released a statement
article_06,46,testimony,4811,4997,"It read, in part: ""We are so proud of our beautiful boy Tori, gone from this Earth but forever in our memories as the most amazing life partner, son and brother we could ever wish for."""
article_07,0,testimony,0,192,"President Donald Trump is such an indiscriminate liar that he sometimes doesn't even know he's lying, former FBI Director James Comey said in an interview with ABC News that aired Sunday night"
article_07,1,testimony,193,246,"He said Trump was ""morally unfit"" to hold his office"
article_07,2,anecdote,249,450,"In hours-long interview with ABC's George Stephanopoulos, parts of which aired on ""20/20,"" Comey recounted many of the details he revealed in his memoir, ""A Higher Loyalty: Truth, Lies and Leadership."""
article_07,3,anecdote,450,594,The interview was conducted before NBC News and other news organizations obtained copies of the book and reported many of its details last week
article_07,4,assumption,598,673,the discussion included no responses to Trump's tweeted outrage since then
article_07,5,assumption,676,824,"Slippery James Comey, a man who always ends up badly and out of whack (he is not smart!), will go down as the WORST FBI Director in history, by far!"
article_07,6,testimony,826,1065,"""Our president must embody respect and adhere to the values that are at the core of this country, the most important being truth,"" Comey said last week, according to a transcript of the entire interview that ABC News published Sunday night"
article_07,7,testimony,1066,1106,"""This president is not able to do that."
article_07,8,testimony,1106,1144,"He is morally unfit to be president."""
article_07,9,testimony,1151,1372,"lies are so promiscuous that ""sometimes he's lying in ways that are obvious, sometimes he's saying things that we may not know are true or false, and then there's a spectrum in between,"" Comey said, according to ABC News"
article_07,10,testimony,1375,1459,"""The challenge of this president is that he will stain everyone around him,"" he said"
article_07,11,assumption,1462,1557,And he indicated that the president's behavior in a one-on-one meeting could have been criminal
article_07,12,testimony,1560,1711,"Recounting a key section of his book, Comey said that in a meeting in February 2017, Trump asked Comey to drop the FBI's investigation of Michael Flynn"
article_07,13,anecdote,1712,1771,who had recently resigned as his national security adviser
article_07,14,testimony,1774,1947,"He said that when Trump asked him privately to drop the investigation of Flynn — an allegation Trump has denied — it was ""certainly some evidence of obstruction of justice."""
article_07,15,testimony,1951,2007,he said any criminal charge would be up to a prosecutor
article_07,16,assumption,2008,2045,who would evaluate Trump's intention
article_07,17,testimony,2048,2304,"White House press secretary Sarah Huckabee Sanders told reporters during a briefing aboard Air Force One on the way to Florida on Monday that the president did not watch the entire Comey interview, but saw ""bits and pieces"" and didn't ""learn anything new."""
article_07,18,testimony,2304,2384,"She also labeled him a ""self-admitted leaker"" who has ""proven to be dishonest."""
article_07,19,assumption,2386,2447,Comey revealed little in the interview that isn't in the book
