doc_id,error_type,gold_label,pred_label,gold_start,gold_end,pred_start,pred_end,overlap_chars,gold_text,pred_text,context,manual_category,note
article_40,overlapping_different_label,anecdote,assumption,4461.0,4578.0,4457.0,4578.0,117,Democrats are using similar arguments to attack the Republican-backed plan of tax reform and the closing of loopholes,But Democrats are using similar arguments to attack the Republican-backed plan of tax reform and the closing of loopholes,", said the GOP simply isn’t convinced that tax increases will have any real impact on deficit-reduction efforts. “It doesn’t solve the problem,” he said on “State of the Union.” But Democrats are using similar arguments to attack the Republican-backed plan of tax reform and the closing of loopholes. “Just to close loopholes is far too little money,” Ms. Pelosi said on ABC’s “This Week.” “If it’s going to bring in [the necessary] revenue, the president has been very clear t",,
article_42,overlapping_different_label,anecdote,assumption,838.0,940.0,838.0,940.0,102,"These centers provide women personalized attention and care during and after pregnancy, free of charge","These centers provide women personalized attention and care during and after pregnancy, free of charge","can seem impossible. Every year, pregnancy centers across the United States offer a helping hand to thousands of women so that they can confidently choose life for their babies. These centers provide women personalized attention and care during and after pregnancy, free of charge. Many offer pregnancy tests, ultrasounds, prenatal education and classes on parenting. They also offer tangible support like maternity and baby clothes, diapers and wipes, and eve",,
article_02,same_label_boundary_difference,statistics,statistics,3656.0,3818.0,3646.0,3752.0,96,"employment is still 3 million jobs lower than before the start of the recession in December 2007, making this the slowest labor-market recovery since World War II",non-farm employment is still 3 million jobs lower than before the start of the recession in December 2007,"be enough to drive the unemployment rate slowly lower. Including February's jobs, the U.S. economy has added 5.7 million jobs since the labor market bottomed in February 2010, but non-farm employment is still 3 million jobs lower than before the start of the recession in December 2007, making this the slowest labor-market recovery since World War II. After peaking at 10 percent in October 2009, the unemployment rate has been grinding lower, but far too slowly. As a result, the Federal Reserve has kept short-term interest rat",,
article_02,same_label_boundary_difference,testimony,testimony,4299.0,4506.0,4301.0,4506.0,205,"If government employment had just held steady since the end of 2008, instead of cutting more than 700,000 jobs, the unemployment rate would be 7.2 percent today, noted the Wall Street Journal's Justin Lahart","government employment had just held steady since the end of 2008, instead of cutting more than 700,000 jobs, the unemployment rate would be 7.2 percent today, noted the Wall Street Journal's Justin Lahart","the economy. The Fed is getting no help from Washington, which in a panic about budget deficits has been slashing government spending and jobs, contributing to the weak recovery. If government employment had just held steady since the end of 2008, instead of cutting more than 700,000 jobs, the unemployment rate would be 7.2 percent today, noted the Wall Street Journal's Justin Lahart. The government sector cut 10,000 more jobs in February, and those numbers could get worse later this year as the effects of the harsh budget cuts of the sequester take effect.",,
article_05,same_label_boundary_difference,anecdote,anecdote,3531.0,3663.0,3605.0,3663.0,58,"By 7:30 a.m., Chris Christie offered a more qualified defense of Melania’s speech when the Today show asked him if it was plagiarism",speech when the Today show asked him if it was plagiarism,"ry Clinton. “This is once again an example of when a woman threatens Hillary Clinton she’ll... take her down,” campaign manager Paul Manafort told CNN. “It’s not going to work.” By 7:30 a.m., Chris Christie offered a more qualified defense of Melania’s speech when the Today show asked him if it was plagiarism. “Not when 93 percent of the speech is completely different than Michelle Obama’s speech,” he said. “They expressed some common thoughts.” The idea that any Republican would sha",,
article_06,same_label_boundary_difference,testimony,testimony,2572.0,2720.0,2644.0,2720.0,76,"He was believed to be acting alone, and he didn't appear to be part of a broader plot, additional U.S. law enforcement and intelligence sources said","broader plot, additional U.S. law enforcement and intelligence sources said","as Sheikh Haron, pleaded guilty in 2013 to writing letters to relatives of Australian service members saying they were ""Hitler's soldiers,"" according to Australian media reports. He was believed to be acting alone, and he didn't appear to be part of a broader plot, additional U.S. law enforcement and intelligence sources said. The scene in Sydney: Grenades and gunfire How the siege unfolded Hundreds of police officers, including snipers, surrounded the cafe in Sydney's central business district shor",,
article_09,same_label_boundary_difference,testimony,testimony,3755.0,3897.0,3762.0,3897.0,135,"adding: “The fact remains that Obamacare needs to be repealed and replaced with common-sense reforms that actually lower costs for Americans.""","“The fact remains that Obamacare needs to be repealed and replaced with common-sense reforms that actually lower costs for Americans.""","r wrote. ""Obamacare costs too much and it isn’t working the way the administration promised,” Sen. Mitch McConnell, the Senate Minority Leader, wrote in response to the decision, adding: “The fact remains that Obamacare needs to be repealed and replaced with common-sense reforms that actually lower costs for Americans."" Rep. Eric Cantor, the House Majority Leader, was more succinct. ""The best delay for ObamaCare is a permanent one,"" he wrote on Twitter. Many allies of Obama, including major lab",,
article_14,same_label_boundary_difference,anecdote,anecdote,181.0,228.0,186.0,228.0,42,He is recognizing Jerusalem as Israel’s capital,recognizing Jerusalem as Israel’s capital,"resident Trump announced on Wednesday that his administration is making a radical break with nearly 70 years of official United States policy and with the international community: He is recognizing Jerusalem as Israel’s capital. This decision will be interpreted by Palestinians, Arabs and the rest of the world as a major provocation. It will cause irreparable harm to Mr. Trump’s own plans to make peace",,
article_17,same_label_boundary_difference,anecdote,anecdote,2950.0,3075.0,3059.0,3075.0,16,Companies in Asia and Europe have been warning employees to be careful when clicking on attachments and links in their emails,in their emails,"in the past. Security officials in the UK, however, say they have not seen anything they would regard as hard evidence, Gordon Corera, the BBC's security correspondent, reports. Companies in Asia and Europe have been warning employees to be careful when clicking on attachments and links in their emails. The message from the UK's National Crime Agency was ""do not pay!"" - there is no guarantee that systems will be restored. Michael Gazeley, of Network Box, a Hong Kong-based cybe",,
article_19,same_label_boundary_difference,testimony,testimony,134.0,287.0,135.0,287.0,152,"""Military solutions are now fully in place, locked and loaded, should North Korea act unwisely. Hopefully Kim Jong-un will find another path!"" he tweeted","Military solutions are now fully in place, locked and loaded, should North Korea act unwisely. Hopefully Kim Jong-un will find another path!"" he tweeted","President Donald Trump says the US military is ""locked and loaded"" to deal with North Korea, ramping up the rhetorical brinkmanship. ""Military solutions are now fully in place, locked and loaded, should North Korea act unwisely. Hopefully Kim Jong-un will find another path!"" he tweeted. He spoke as Pyongyang accused him of ""driving"" the Korean peninsula to the ""brink of a nuclear war"". North Korea has announced plans to fire missiles near the US territory of G",,
article_19,same_label_boundary_difference,testimony,testimony,4190.0,4269.0,4190.0,4268.0,78,"He also chided the North's closest ally, China, saying it could do ""a lot more""","He also chided the North's closest ally, China, saying it could do ""a lot more","hat his own statements on North Korea had not been tough enough, warning the regime to be ""very, very nervous"". However, he added that the US would always consider negotiations. He also chided the North's closest ally, China, saying it could do ""a lot more"". China's state-run Global Times newspaper wrote that Beijing should stay neutral if North Korea launches an attack that threatens the US. But it also said that if the US and Sou",,
article_27,same_label_boundary_difference,testimony,testimony,1742.0,1935.0,1796.0,1935.0,139,"Trump took credit for the apparent Republican victory, saying on Twitter that Balderson’s campaign made “a big turn for the better” after he campaigned for him in the district on Saturday night",saying on Twitter that Balderson’s campaign made “a big turn for the better” after he campaigned for him in the district on Saturday night,"ounty official, tried to project a moderate image, saying he would support new Democratic leadership in Congress and work with Republicans but also criticizing the Trump tax cut. Trump took credit for the apparent Republican victory, saying on Twitter that Balderson’s campaign made “a big turn for the better” after he campaigned for him in the district on Saturday night. Balderson told supporters in Ohio: “I’d like to thank President Trump.” Other Republicans had also rushed to Balderson’s aid. Ohio Governor John Kasich, a Trump critic, endorse",,
article_32,same_label_boundary_difference,testimony,testimony,2583.0,2766.0,2644.0,2766.0,122,Officials familiar with the White House review say the panel&aposs recommendation to strip the NSA of its authority to hold Americans&apos phone records has proven difficult for Obama,aposs recommendation to strip the NSA of its authority to hold Americans&apos phone records has proven difficult for Obama,"or the entire judiciary, U.S. District Judge John D. Bates said Tuesday that appointing an independent advocate to the secret court is unnecessary and possibly counterproductive. Officials familiar with the White House review say the panel&aposs recommendation to strip the NSA of its authority to hold Americans&apos phone records has proven difficult for Obama. The panel proposed moving the records to the phone companies or another third party and requiring the NSA to get separate authority from the Foreign Intelligence Surveillance Cou",,
article_35,same_label_boundary_difference,testimony,testimony,860.0,1198.0,834.0,1074.0,214,"Rodriguez told TheBlaze that Christians’ views on immigration have changed dramatically over the past seven years, noting that progressive and conservative evangelicals, alike, are coming together like never before (we reported on a massive campaign bridging political divides earlier this year called “The Evangelical Immigration Table”)","Among other observations, Rodriguez told TheBlaze that Christians’ views on immigration have changed dramatically over the past seven years, noting that progressive and conservative evangelicals, alike, are coming together like never before","this controversial issue. Considering the role that preachers have in American communities and the work Rodriguez has been engaged in, his perspective on this front is important. Among other observations, Rodriguez told TheBlaze that Christians’ views on immigration have changed dramatically over the past seven years, noting that progressive and conservative evangelicals, alike, are coming together like never before (we reported on a massive campaign bridging political divides earlier this year called “The Evangelical Immigration Table”). “It’s important to that conservative evangelicals today, as in comparison to seven years ago, serve as probably one of the most significant supportive groups in favor of compreh",,
article_05,same_label_segmentation_difference,testimony,testimony,1652.0,2011.0,1651.0,2011.0,358,"“They taught and showed me values and morals in their daily life. That is a lesson that I continue to pass along to our son, and we need to pass those lessons on to the many generations to follow because we want our children in this nation to know that the only limit to your achievements is the strength of your dreams and your willingness to work for them.”","“They taught and showed me values and morals in their daily life || That is a lesson that I continue to pass along to our son, and we need to pass those lessons on to the many generations to follow because we want our children in this nation to know that the only limit to your achievements is the strength of your dreams and your willingness to work for them.”","work hard for what you want in life, that your word is your bond and you do what you say and keep your promise; that you treat people with respect,” Melania said [emphasis added]. “They taught and showed me values and morals in their daily life. That is a lesson that I continue to pass along to our son, and we need to pass those lessons on to the many generations to follow because we want our children in this nation to know that the only limit to your achievements is the strength of your dreams and your willingness to work for them.” Here’s Michelle eight years ago: “Barack and I were raised with so many of the same values: that you work hard for what you want in life; that your word is your bond and you do",,
article_07,same_label_segmentation_difference,testimony,testimony,1067.0,1144.0,1066.0,1144.0,77,"""This president is not able to do that. He is morally unfit to be president.""","""This president is not able to do that. || He is morally unfit to be president.""","that are at the core of this country, the most important being truth,"" Comey said last week, according to a transcript of the entire interview that ABC News published Sunday night. ""This president is not able to do that. He is morally unfit to be president."" Trump lies are so promiscuous that ""sometimes he's lying in ways that are obvious, sometimes he's saying things that we may not know are true or false, and then there's a spectru",,
article_07,same_label_segmentation_difference,testimony,testimony,4539.0,4684.0,4538.0,4684.0,145,"""We're no longer that group in America that is apart from the partisans and that can be trusted. We're just another player in the tribal battle.""","""We're no longer that group in America that is apart from the partisans and that can be trusted. || We're just another player in the tribal battle.""","News that he would make the same decision again. ""If I ever start considering whose political fortunes will be affected by a decision, we're done,"" he said, according to ABC News. ""We're no longer that group in America that is apart from the partisans and that can be trusted. We're just another player in the tribal battle."" James Comey joins Rachel Maddow live in-studio Thursday at 9 p.m., ET, on MSNBC. CORRECTION (April 16, 2018, 6:10 a.m.): An earlier version of this article misstated James Comey",,
article_08,same_label_segmentation_difference,testimony,testimony,3371.0,3564.0,3371.0,3564.0,190,"“And a big chunk of the Republican party, which prided itself during the Reagan era and for decades that followed as being the bulwark against Russian influence, now suddenly is embracing him.”","“ || a big chunk of the Republican party, which prided itself during the Reagan era and for decades that followed as being the bulwark against Russian influence, now suddenly is embracing him.”","ssidents in jail, countering American efforts to expand freedom at every turn; is currently making decisions that’s leading to a slaughter in Syria,” the outgoing president said. “And a big chunk of the Republican party, which prided itself during the Reagan era and for decades that followed as being the bulwark against Russian influence, now suddenly is embracing him.” Earlier on Thursday, the White House went its furthest yet in joining the dots between Trump and Putin. Press secretary Josh Earnest pointed reporters to a unanimous statement f",,
article_14,same_label_segmentation_difference,assumption,assumption,1295.0,1548.0,1295.0,1548.0,248,"With his announcement on Wednesday, Mr. Trump has legitimized Israel’s illegal actions and sent the message that the United States no longer has any regard for international conventions or norms, and that might and power prevail over justice and the law","With his announcement on Wednesday, Mr. Trump has legitimized Israel’s illegal actions and sent the message that the United States no longer has any regard for international conventions or norms || that might and power prevail over justice and the law","city by expanding its boundaries, annexing it and constructing a ring of settlements on occupied Palestinian land around its outskirts to sever it from the rest of the West Bank. With his announcement on Wednesday, Mr. Trump has legitimized Israel’s illegal actions and sent the message that the United States no longer has any regard for international conventions or norms, and that might and power prevail over justice and the law. Perhaps this shouldn’t have been a surprise. Members of Israel’s hard-right government were overjoyed at Mr. Trump’s election, believing they would have a free rein to accelerat",,
article_19,same_label_segmentation_difference,testimony,testimony,609.0,825.0,609.0,825.0,210,"It states: ""Do not look at the flash or fireball - it can blind you."" ""Lie flat on the ground and cover your head. If the explosion is some distance away, it could take 30 seconds or more for the blast wave to hit.""","It states: ""Do not look at the flash or fireball - it can blind you."" || ""Lie flat on the ground and cover your head || the explosion is some distance away, it could take 30 seconds or more for the blast wave to hit.""","re missiles near the US territory of Guam. The Pacific island's homeland security agency issued a fact sheet on Friday with tips for residents to prepare for any missile threat. It states: ""Do not look at the flash or fireball - it can blind you."" ""Lie flat on the ground and cover your head. If the explosion is some distance away, it could take 30 seconds or more for the blast wave to hit."" Moscow said the exchange of threats between Washington and Pyongyang ""worry us very much"". Foreign Minister Sergei Lavrov rated the risk of military conflict as ""very high"" as h",,
article_20,same_label_segmentation_difference,testimony,testimony,1658.0,1781.0,1657.0,1781.0,123,"He also called for reconciliation, saying it was time to bind the nation's wounds and come together ""as one united people.""","He also called for reconciliation, || saying it was time to bind the nation's wounds and come together ""as one united people.""","mocratic voters. After Hillary Clinton called Trump to concede the election, he told supporters, he offered her his congratulations to her for ""a very, very hard-fought campaign."" He also called for reconciliation, saying it was time to bind the nation's wounds and come together ""as one united people."" ""I pledge to every citizen in our land, that I will be president for all Americans, and this is so important to me,"" he said. ""For those who have chosen not to support me… I am r",,
article_26,same_label_segmentation_difference,anecdote,anecdote,1355.0,1534.0,1354.0,1534.0,175,"The state does, however, allow independent candidates to run on the ballot, so the party submitted paperwork to have a Libertarian candidate appear on the ballot as an independent","The state does, however, allow independent candidates to run on the ballot || the party submitted paperwork to have a Libertarian candidate appear on the ballot as an independent","parties while penalizing weak, smaller parties,"" according to Ballotpedia. In Ohio, like many states, Libertarians have not received enough support for formal ballot recognition. The state does, however, allow independent candidates to run on the ballot, so the party submitted paperwork to have a Libertarian candidate appear on the ballot as an independent. But when the time came to submit the paperwork, the Libertarian convention had not officially chosen a candidate yet. Charlie Earl, a Libertarian Party member who had run unsucc",,
article_26,same_label_segmentation_difference,assumption,assumption,3780.0,4019.0,3966.0,4019.0,52,"While both Stein and Johnson have also gotten their names on the ballots in states that do not recognize their respective parties through methods like the one Johnson's campaign employed in Ohio, they will likely not appear on every ballot",in Ohio || they will likely not appear on every ballot,"ed a photo in July bearing the slogan, ""Reject the Lesser Evil, Fight for the Greater Good!"" But earning enough support to viably run against Trump and Clinton will not be easy. While both Stein and Johnson have also gotten their names on the ballots in states that do not recognize their respective parties through methods like the one Johnson's campaign employed in Ohio, they will likely not appear on every ballot. Johnson is currently missing from 8 state ballots, according to the Libertarian Party's official website. Stein's campaign site says that she is missing from 15 states. For now,",,
article_32,same_label_segmentation_difference,assumption,assumption,2172.0,2391.0,2172.0,2391.0,218,"The U.S. judiciary threw cold water on one proposal Obama has indicated he supports: putting an independent privacy advocate on the Foreign Intelligence Surveillance Court, which currently hears only from the government",The U.S. judiciary threw cold water on one proposal Obama has indicated he supports: putting an independent privacy advocate on the Foreign Intelligence Surveillance Court || which currently hears only from the government,"ducting is not complete and that the president could make additional decisions in the coming days. Obama is reviewing more than 40 recommendations from a presidential commission. The U.S. judiciary threw cold water on one proposal Obama has indicated he supports: putting an independent privacy advocate on the Foreign Intelligence Surveillance Court, which currently hears only from the government. Speaking for the entire judiciary, U.S. District Judge John D. Bates said Tuesday that appointing an independent advocate to the secret court is unnecessary and possibly counterp",,
article_35,same_label_segmentation_difference,testimony,testimony,3412.0,3548.0,3412.0,3548.0,135,"“Ronald Reagan would agree with me on this. He was the one who said that these immigrants really embody the future of America,” he added","“Ronald Reagan would agree with me on this || He was the one who said that these immigrants really embody the future of America,” he added","s have actually contributed to their communities. Rodriguez also highlighted his belief that it’s unfair to throw these individuals out when they have been living here for years. “Ronald Reagan would agree with me on this. He was the one who said that these immigrants really embody the future of America,” he added. “True conservatism [means that] if we are to conserve the spirit of entrepreneurship, we want to welcome these immigrants.” It’s not as though the faith leader wants to open the",,
article_36,same_label_segmentation_difference,testimony,testimony,3351.0,3478.0,3350.0,3478.0,124,"""And I expect that at the end of the day, he will get confirmed despite some heated opposition from some pretty mad Democrats.""",""" || I expect that at the end of the day, he will get confirmed despite some heated opposition from some pretty mad Democrats.""","or on what fronts. ""You never really can replace a legal lion like Antonin Scalia, but a fitting successor to Antonin Scalia: Neil Gorsuch certainly fits that mold,"" Malcolm said. ""And I expect that at the end of the day, he will get confirmed despite some heated opposition from some pretty mad Democrats."" He added, ""It's hard to go after Judge Gorsuch. He's such a thoughtful jurist."" No Abortion Rulings, But May Still Be a Hot Topic Malcolm did mention that abortion is often one",,
article_01,unmatched_gold_span,testimony,,456.0,542.0,,,0,said he wants to see whether the final vote count in California shows a tighter result,,"y to go yet. Story Continued Below The Vermont senator declared that he will stay in the race for the Democratic nomination until next Tuesday's District of Columbia primary and said he wants to see whether the final vote count in California shows a tighter result. He also is planning to go forward with a big rally in Washington, D.C., on Thursday night. After spending an hour meeting with Obama in the Oval Office, Sanders acknowledged tha",,
article_11,unmatched_gold_span,other,,4503.0,4542.0,,,0,Lordy: tapes. Or the digital equivalent,,"obably has some other receipts, too. According to Michael Avenatti, Daniels’ sharp-dressed lawyer, some 16 phones were found when the FBI raided Michael Cohen’s office in April. Lordy: tapes. Or the digital equivalent. There’s a useful app called iHere3, which pairs a small keychain device with an iPhone. It lets you wiretap anyone without anything fishy on your phone’s lock screen. If Cohen c",,
article_19,unmatched_gold_span,assumption,,4702.0,4759.0,,,0,Australia would honour its commitment under a 1951 treaty,,"ervene to prevent it. Meanwhile, Australian Prime Minister Malcolm Turnbull said his nation would be prepared to join a conflict against North Korea if the US came under attack. Australia would honour its commitment under a 1951 treaty, he said, ""as America would come to our aid if we were attacked"". Get news from the BBC in your inbox, each weekday morning",,
article_23,unmatched_gold_span,testimony,,776.0,944.0,,,0,"The militant, who demands $100 million for each hostage, says the Japanese government has made the ""foolish"" decision to provide $200 million to fight the Islamic State",,"nt things."" The video has been identified as being made by the Islamic State group's al-Furqan media arm and was posted on militant websites associated with the extremist group. The militant, who demands $100 million for each hostage, says the Japanese government has made the ""foolish"" decision to provide $200 million to fight the Islamic State, likely referring to money Abe pledged to help Iraq's government and aid Syrian refugees. ""To the prime minister of Japan: Although you are more than 8,000 and 500 kilometers (5,",,
article_24,unmatched_gold_span,other,,621.0,706.0,,,0,Here's a scorecard of pluses and minuses for the people on the president's short list,,"ce a nominee who is hard to criticize on objective grounds,"" says David Lat, founder of the legal website Above The Law, who is in contact with officials involved in the process. Here's a scorecard of pluses and minuses for the people on the president's short list: Brett Kavanaugh of Maryland, 53, U.S. Court of Appeals for the District of Columbia Circuit Pluses: Like Associate Justice Neil Gorsuch, named to the high court by Trump last y",,
article_24,unmatched_gold_span,anecdote,,1893.0,1974.0,,,0,"The mother of seven children, including two from Haiti and one with special needs",,"Pluses: She rocketed to the top of Trump's list with a stellar performance during her confirmation last fall, when Democrats cited her deep Catholic faith as a potential problem. The mother of seven children, including two from Haiti and one with special needs, she offers the imagery Trump craves. Being a woman may box in Democrats. Being from Indiana may box in moderate Democratic Sen. Joe Donnelly, who faces a tough re-election campai",,
article_29,unmatched_gold_span,assumption,,4525.0,4588.0,,,0,Senate seat Obama vacated after being elected president in 2008,,"both were involved with Trump’s “Apprentice” reality TV television show. Blagojevich was convicted of corruption offenses including soliciting bribes for appointment to the U.S. Senate seat Obama vacated after being elected president in 2008. Last August, Trump pardoned Arpaio less than a month after his conviction for criminal contempt in a case involving racial profiling of Hispanics. Arpaio was known for his crack",,
article_31,unmatched_gold_span,testimony,,1720.0,1895.0,,,0,"“The future president must respect institutions, must respect democracy, the rule of law, the judiciary branch, the national Congress and the legislative branch,” Toffoli said",,"eed to respond with force.” In a highly unusual moment, the chief justice of the Supreme Court, Jose Dias Toffoli, read out part of the Constitution to reporters after he voted. “The future president must respect institutions, must respect democracy, the rule of law, the judiciary branch, the national Congress and the legislative branch,” Toffoli said in remarks many took to be a rebuke of Bolsonaro and his more extreme positions. Supporters of Jair Bolsonaro singing the national anthem in front of his house during the preside",,
article_37,unmatched_gold_span,testimony,,266.0,331.0,,,0,"He suggested Australia and ""other countries"" might also be spared",,"hursday he would announce tariffs on imported steel and aluminum but with temporary exemptions for Canada and Mexico as he seeks to revise the North American Free Trade Agreement. He suggested Australia and ""other countries"" might also be spared, a shift that could soften the international blow amid threats of retaliation by trading partners. The White House said Trump would sign the orders on Thursday afternoon as oppon",,
article_37,unmatched_gold_span,anecdote,,4264.0,4359.0,,,0,the president and CEO of the U.S. Chamber of Commerce raising the specter of a global trade war,,"retaliatory actions - was expected within the next three weeks. Business leaders, meanwhile, continued to sound the alarm about the potential economic fallout from tariffs, with the president and CEO of the U.S. Chamber of Commerce raising the specter of a global trade war. That scenario, Tom Donohue said, would endanger the economic momentum from the GOP tax cuts and Trump's rollback of regulations. ""We urge the administration to take this risk se",,
article_45,unmatched_gold_span,anecdote,,1919.0,2091.0,,,0,"when an actual radicalized political Bernie Bro stooge hears the message loud and clear, gets a gun, and seeks out Republican Congress people (and their children) to murder",,"crosshairs on Sarah Palin’s website? The symbols were blamed for a crazy person shooting Gabby Giffords. It was insane. The media’s behavior was irresponsible and salacious. Now, when an actual radicalized political Bernie Bro stooge hears the message loud and clear, gets a gun, and seeks out Republican Congress people (and their children) to murder, motives are hazier. The media can’t quite figure out why someone would do such a thing. Really? When the Mayor of Berkeley refuses to allow the police to stop masked leftist ter",,
article_45,unmatched_gold_span,assumption,,2594.0,2688.0,,,0,it’s condoned and encouraged from the least activist all the way up to Hillary Clinton herself,,"’s open season on the political opposition? Is it a stretch that a political volunteer would take the message to heart? Violence is not only passively allowed, as in Berkeley, but it’s condoned and encouraged from the least activist all the way up to Hillary Clinton herself. How does that manifest? Shooting baseball playing Congressmen or maybe running them off the road or maybe sending death threats to kill the wife of the elected official. All of",,
article_03,unmatched_prediction,,assumption,,,3179.0,3184.0,0,,strom,to fully renew its spring order for the Ivanka Trump line. That prompted her father to lash out at the company on Twitter. My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible! Ms. Trump's business later launched a direct-to-consumer website that would bypass reluctant retailer,,
